EID,4way time (us),activity,alias,anqp time (us),ap,beacon,bps rx,bps rx ll,bps tx,bps tx ll,bytes rx ll,bytes tx ll,channel,collisions,connections,crypt,cx ago,cx time (us),device,dhcp (ms),down,entity id,gateway ip,ip,ipv6 address,ipv6 gateway,key/phrase,login-fail,login-ok,logout-fail,logout-ok,mac,mask,misc,mode,mtu,no cx (us),noise,parent dev,phantom,port,port type,pps rx,pps tx,qlen,reset,retry failed,rx bytes,rx crc,rx drop,rx errors,rx fifo,rx frame,rx length,rx miss,rx over,rx pkts,rx-rate,sec,signal,ssid,status,time-stamp,tx abort,tx bytes,tx crr,tx errors,tx fifo,tx hb,tx pkts,tx wind,tx-failed %,tx-rate,wifi retries
1.1.sta00023,0,23,sta00023,0,04:D4:C4:4F:BB:9C,0,1806026,1806026,15125,15125,18572730,155542,36,0,1,0,58.683 s,6544,sta00023,23704,FALSE,NA,192.168.50.1,192.168.50.107,fe80::6f0:21ff:fe8b:bc9f/64,DELETED,,0,0,0,0,04:f0:21:8b:bc:9f,255.255.255.0,14,802.11an-AC 160,1500,3464533,-102 dBm,wiphy0,FALSE,1.1.030,WIFI-STA,156,21,1000,Complete,31,18572730,0,0,0,0,0,0,0,0,12902,526.5 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,155542,0,0,0,0,1747,0,5.817782879,1170.2 Mbps,75
1.1.sta00024,0,23,sta00024,0,04:D4:C4:4F:BB:9C,0,2021140,2021140,14480,14480,20784900,148914,36,0,1,0,34.213 s,5496,sta00024,314,FALSE,NA,192.168.50.1,192.168.50.139,fe80::6f0:21ff:fe71:5f9f/64,DELETED,,0,0,0,0,04:f0:21:71:5f:9f,255.255.255.0,13,802.11an-AC 160,1500,427289,-102 dBm,wiphy0,FALSE,1.1.031,WIFI-STA,171,20,1000,Complete,24,20784900,0,0,0,0,0,0,0,0,14121,975 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,148914,0,0,0,0,1685,0,3.37405467,1040 Mbps,34
1.1.sta00025,0,23,sta00025,0,04:D4:C4:4F:BB:9C,0,2104512,2104512,16366,16366,21642278,168306,36,0,1,0,34.333 s,6719,sta00025,917,FALSE,NA,192.168.50.1,192.168.50.84,fe80::6f0:21ff:fe8e:d69f/64,DELETED,,0,0,0,0,04:f0:21:8e:d6:9f,255.255.255.0,10,802.11an-AC 160,1500,293992,-102 dBm,wiphy0,FALSE,1.1.032,WIFI-STA,178,23,1000,Complete,31,21642278,0,0,0,0,0,0,0,0,14712,877.5 Mbps,0,-35 dBm,ASUSAP,Authorized,21:20.6,0,168306,0,0,0,0,1937,0,6.246925831,1170 Mbps,96
1.1.sta00026,0,23,sta00026,0,04:D4:C4:4F:BB:9C,0,2125083,2125083,14208,14208,21853559,146112,36,0,1,0,34.71 s,6550,sta00026,368,FALSE,NA,192.168.50.1,192.168.50.32,fe80::6f0:21ff:fe11:b39f/64,DELETED,,0,0,0,0,04:f0:21:11:b3:9f,255.255.255.0,12,802.11an-AC 160,1500,286722,-102 dBm,wiphy0,FALSE,1.1.033,WIFI-STA,180,20,1000,Complete,24,21853559,0,0,0,0,0,0,0,0,14864,975 Mbps,0,-35 dBm,ASUSAP,Authorized,21:21.0,0,146112,0,0,0,0,1686,0,4.262672901,1170.2 Mbps,50
1.1.sta00027,0,23,sta00027,0,04:D4:C4:4F:BB:9C,0,1984572,1984572,14749,14749,20433405,151860,36,0,1,0,34.758 s,5814,sta00027,440,FALSE,NA,192.168.50.1,192.168.50.25,fe80::6f0:21ff:fe38:19f/64,DELETED,,0,0,0,0,04:f0:21:38:01:9f,255.255.255.0,13,802.11an-AC 160,1500,284546,-102 dBm,wiphy0,FALSE,1.1.034,WIFI-STA,168,21,1000,Complete,24,20433405,0,0,0,0,0,0,0,0,13915,975 Mbps,0,-35 dBm,ASUSAP,Authorized,21:21.1,0,151860,0,0,0,0,1742,0,5.966064453,1170.2 Mbps,85
1.1.sta00028,0,23,sta00028,0,04:D4:C4:4F:BB:9C,0,2303895,2303895,15985,15985,22777172,158034,36,0,1,0,34.3 s,6725,sta00028,837,FALSE,NA,192.168.50.1,192.168.50.206,fe80::6f0:21ff:fe0b:b99f/64,DELETED,,0,0,0,0,04:f0:21:0b:b9:9f,255.255.255.0,11,802.11an-AC 160,1500,282939,-102 dBm,wiphy0,FALSE,1.1.035,WIFI-STA,195,22,1000,Complete,0,22777172,0,0,0,0,0,0,0,0,15423,702 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,158034,0,0,0,0,1801,0,0.825991213,1170.2 Mbps,15
1.1.sta00029,0,23,sta00029,0,04:D4:C4:4F:BB:9C,0,1837576,1837576,15364,15364,18816324,157330,36,0,1,0,34.289 s,5513,sta00029,561,FALSE,NA,192.168.50.1,192.168.50.116,fe80::6f0:21ff:fe0b:f79f/64,DELETED,,0,0,0,0,04:f0:21:0b:f7:9f,255.255.255.0,11,802.11an-AC 160,1500,282505,-102 dBm,wiphy0,FALSE,1.1.036,WIFI-STA,156,21,1000,Complete,3,18816324,0,0,0,0,0,0,0,0,12800,877.5 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,157330,0,0,0,0,1787,0,1.381978989,1170.2 Mbps,22
1.1.sta00030,0,23,sta00030,0,04:D4:C4:4F:BB:9C,0,1472218,1472218,10777,10777,15075152,110354,36,0,1,0,34.279 s,5871,sta00030,1197,FALSE,NA,192.168.50.1,192.168.50.77,fe80::6f0:21ff:fe4b:2b9f/64,DELETED,,0,0,0,0,04:f0:21:4b:2b:9f,255.255.255.0,12,802.11an-AC 160,1500,276953,-102 dBm,wiphy0,FALSE,1.1.037,WIFI-STA,125,15,1000,Complete,7,15075152,0,0,0,0,0,0,0,0,10320,975 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,110354,0,0,0,0,1255,0,1.886792421,1040 Mbps,17
1.1.sta00031,0,23,sta00031,0,04:D4:C4:4F:BB:9C,0,2082641,2082641,20406,20406,21326250,208964,36,0,1,0,34.268 s,6449,sta00031,1148,FALSE,NA,192.168.50.1,192.168.50.168,fe80::6f0:21ff:fe09:a19f/64,DELETED,,0,0,0,0,04:f0:21:09:a1:9f,255.255.255.0,12,802.11an-AC 160,1500,267734,-102 dBm,wiphy0,FALSE,1.1.038,WIFI-STA,176,28,1000,Complete,20,21326250,0,0,0,0,0,0,0,0,14488,702 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,208964,0,0,0,0,2332,0,2.406078577,1170.2 Mbps,37
1.1.sta00032,0,23,sta00032,0,04:D4:C4:4F:BB:9C,0,2257362,2257362,25233,25233,23115394,258388,36,0,1,0,34.257 s,6302,sta00032,564,FALSE,NA,192.168.50.1,192.168.50.140,fe80::6f0:21ff:fe47:5c9f/64,DELETED,,0,0,0,0,04:f0:21:47:5c:9f,255.255.255.0,12,802.11an-AC 160,1500,254894,-102 dBm,wiphy0,FALSE,1.1.039,WIFI-STA,191,35,1000,Complete,39,23115394,0,0,0,0,0,0,0,0,15660,877.5 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,258388,0,0,0,0,2922,0,3.835890532,1053.2 Mbps,76
